NCT Number,Study Title,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Start Date,Primary Completion Date,Completion Date
NCT03658772,Grapiprant and Pembrolizumab in Patients With Advanced or Progressive MSS Colorectal Cancer,ACTIVE_NOT_RECRUITING,Microsatellite Stable Colorectal Cancer,DRUG: grapiprant|DRUG: grapiprant and pembrolizumab,Arrys Therapeutics,Merck Sharp & Dohme LLC,INTERVENTIONAL,"September 20, 2018","September 20, 2018","June 1, 2022"
NCT04606472,"A Study of SI-B003, a PD-1/CTLA-4 Bispecific Antibody, in Patients With Advanced Solid Tumors",RECRUITING,Solid Tumor,DRUG: SI-B003,"Sichuan Baili Pharmaceutical Co., Ltd.",SystImmune Inc.,INTERVENTIONAL,"November 19, 2020","November 19, 2020",September 2022
NCT03237572,Focused Ultrasound and Pembrolizumab in Metastatic Breast Cancer,TERMINATED,Breast Cancer,DRUG: Pembrolizumab|DEVICE: High-intensity focused ultrasound (HIFU),"Patrick Dillon, MD",,INTERVENTIONAL,"September 25, 2017","September 25, 2017","June 1, 2022"
NCT05478772,"Study to Evaluate Multiple Doses of Fluconazole, a CYP3A4 and CYP2C9 Inhibitor, on the Pharmacokinetics of CTP-543 in Healthy Subjects",COMPLETED,Health Volunteers,DRUG: CTP-543|DRUG: Fluconazole,Concert Pharmaceuticals,,INTERVENTIONAL,"July 11, 2022","July 11, 2022","August 6, 2022"
NCT04902131,A Study Comparing MENOPUR in a Pen Formulation With a Powder and Solvent Formulation in Healthy Women,COMPLETED,"Infertility, Female","DRUG: A MENOPUR solution for injection in pre-filled pen, 600 IU/0.96 mL|DRUG: A MENOPUR powder including solvent for solution for injection, 75 IU",Ferring Pharmaceuticals,,INTERVENTIONAL,"November 2, 2021","November 2, 2021","August 15, 2022"
NCT03592888,DC Vaccine in Pancreatic Cancer,RECRUITING,Pancreatic Ductal Adenocarcinoma,DRUG: mDC3/8-KRAS Vaccine,University of Pennsylvania,,INTERVENTIONAL,"November 20, 2018","November 20, 2018",September 2022
NCT04368988,Evaluation of the Safety and Immunogenicity of a SARS-CoV-2 rS Nanoparticle Vaccine With/Without Matrix-M Adjuvant,COMPLETED,COVID-19,"BIOLOGICAL: SARS-CoV-2 rS - Phase 1|BIOLOGICAL: SARS-CoV-2 rS/Matrix-M Adjuvant - Phase 1|OTHER: Normal saline solution (NSS), Placebo - Phase 1|OTHER: Normal saline solution (NSS), Placebo - Phase 2|BIOLOGICAL: SARS-CoV-2 rS/Matrix-M Adjuvant, Day 0 - Phase 1|OTHER: Normal saline solution (NSS), Placebo, Day 21 - Phase 1|BIOLOGICAL: SARS-CoV-2 rS/Matrix-M Adjuvant - Phase 2",Novavax,Coalition for Epidemic Preparedness Innovations,INTERVENTIONAL,"May 25, 2020","May 25, 2020","June 1, 2022"
NCT05279872,A Study of Zanubrutinib in Patients With ITP,RECRUITING,Immune Thrombocytopenia|Bruton Tyrosine Kinase,DRUG: Zanubrutinib,Peking University People's Hospital,,INTERVENTIONAL,"January 1, 2022","January 1, 2022","July 1, 2022"
NCT04927572,"Safety, Pharmacokinetics and Efficacy of FMX114 Versus Vehicle in Adults With Atopic Dermatitis",COMPLETED,Atopic Dermatitis,DRUG: FMX114|OTHER: Vehicle,Vyne Therapeutics Inc.,,INTERVENTIONAL,"October 13, 2021","October 13, 2021","August 9, 2022"
NCT04908462,"To Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Oral AL01211 in Healthy Volunteers and Autosomal Dominant Polycystic Kidney Disease Subjects",ACTIVE_NOT_RECRUITING,Autosomal Dominant Polycystic Kidney,DRUG: AL01211 or Placebo (Part A)|DRUG: AL01211 or Placebo (Part B),"AceLink Therapeutics, Inc.",Novotech (Australia) Pty Limited,INTERVENTIONAL,"June 8, 2021","June 8, 2021","June 1, 2022"
NCT03781362,Study of CPI-100 in Patients With Advanced Tumors,COMPLETED,Advanced Tumors,DRUG: CPI-100|DRUG: Capecitabine,"Coordination Pharmaceuticals, Inc.",,INTERVENTIONAL,"December 21, 2018","December 21, 2018","June 21, 2022"
NCT05219838,Binding and Effects of Lu AG06466 in the Brain of Healthy Men,COMPLETED,Healthy Participants,DRUG: Lu AG06466,H. Lundbeck A/S,,INTERVENTIONAL,"January 18, 2022","January 18, 2022","August 18, 2022"
NCT04798638,A Study to Assess the Effect of Food on the Pharmacokinetics of TY-9591 in Healthy Volunteers,ACTIVE_NOT_RECRUITING,Healthy Volunteers,DRUG: TY-9591 Tablets under Fasted Condition - Arm1|DRUG: Osimertinib Mesylate Tablets under Fasted Condition - Arm1|DRUG: TY-9591 Tablets after a High-fat Meal - Arm1|DRUG: Osimertinib Mesylate Tablets under Fasted Condition - Arm2|DRUG: TY-9591 Tablets under Fasted Condition - Arm2|DRUG: TY-9591 Tablets after a High-fat Meal - Arm2,"TYK Medicines, Inc",,INTERVENTIONAL,"April 30, 2021","April 30, 2021","August 20, 2022"
